area,name,lat,long,status,note
鎌倉市,39-3,35.3570805,139.5235451,2,玉縄二丁目7番地:やと池児童遊園フェンス
鎌倉市,39-4,35.3568864,139.5216362,4,玉縄ー丁目2番地1:玉縄青少年会館フェンス
鎌倉市,39-5,35.3596164,139.5207405,5,玉縄五丁目21番地1:玉縄1-2号緑地フェンス
鎌倉市,39-6,35.3596628,139.5206817,6,玉縄五丁目26番地:山百合児童遊園フェンス
鎌倉市,39-7,35.3589531,139.5200278,0,玉縄五丁目9番地1:玉縄すこやかセンター柵
鎌倉市,40-1,35.3528857,139.5112616,1,城廻396番地:石原宅塀
鎌倉市,40-2,35.3557209,139.5101838,2,城遥516番地3:関谷中継室フェンス
鎌倉市,40-3,35.3562812,139.513485,4,城廻100番地77:打越東公園フェンス
鎌倉市,40-4,35.3610373,139.5134841,5,関谷468番地1:関谷小学校正門脇フェンス
鎌倉市,40-5,35.359777,139.5181565,6,関谷351番地27:下坪かえる公園脇
鎌倉市,40-6,35.3558584,139.5057756,0,城廻481番地3:中村公園フェンス
鎌倉市,40-7,35.3622323,139.5120194,1,関谷633番地22:石原谷戸とび公園脇
